ctry,year,nat_res_exp_sha_t_3,avg_gdppc,pop
arg,1995,0.1867324,5010.457,34.285
arg,2000,0.2001394,5010.457,35.923
arg,2005,0.2255545,5010.457,37.926
arg,2008,0.2222202,5010.457,39.226
aus,1995,0.2873912,32671.95,18.12
aus,2000,0.3103218,32671.95,19.141
aus,2005,0.3689256,32671.95,20.312
aus,2008,0.5038421,32671.95,21.476
aut,1995,0.0099093,36092.46,7.948
aut,2000,0.0120158,36092.46,8.012
aut,2005,0.012574,36092.46,8.225
aut,2008,0.0077819,36092.46,8.337
bel,1995,0.0149984,34743.42,10.131
bel,2000,0.0122364,34743.42,10.239
bel,2005,0.0112423,34743.42,10.446
bel,2008,0.014701,34743.42,10.667
bgr,1995,0.1330209,3586.978,8.297
bgr,2000,0.1329037,3586.978,8.149
bgr,2005,0.0986074,3586.978,7.719
bgr,2008,0.0875194,3586.978,7.607
bra,1995,0.103325,4810.661,161.848
bra,2000,0.0743692,4810.661,174.425
bra,2005,0.1659626,4810.661,185.987
bra,2008,0.2434452,4810.661,191.543
brn,1995,0.6425939,25732.1,0.287
brn,2000,0.8040334,25732.1,0.325
brn,2005,0.8685642,25732.1,0.359
brn,2008,0.8700166,25732.1,0.375
can,1995,0.1298853,33199.05,29.263
can,2000,0.1440757,33199.05,30.647
can,2005,0.21223,33199.05,32.205
can,2008,0.3052304,33199.05,33.265
che,1995,0.0067587,51435.87,7.019
che,2000,0.0081129,51435.87,7.164
che,2005,0.0037583,51435.87,7.415
che,2008,0.004092,51435.87,7.593
chl,1995,0.4993123,7297.097,14.395
chl,2000,0.4702538,7297.097,15.398
chl,2005,0.5310796,7297.097,16.267
chl,2008,0.5409195,7297.097,16.763
chn,1995,0.0489483,1729.224,1211.21
chn,2000,0.0395221,1729.224,1267.43
chn,2005,0.0192732,1729.224,1307.56
chn,2008,0.0190349,1729.224,1328.02
cyp,1995,0.0568011,21961.1,0.652
cyp,2000,0.0260102,21961.1,0.698
cyp,2005,0.0257492,21961.1,0.744
cyp,2008,0.023997,21961.1,0.797
cze,1995,0.0547112,12169.16,10.333
cze,2000,0.0261579,12169.16,10.278
cze,2005,0.0275404,12169.16,10.221
cze,2008,0.0182698,12169.16,10.381
deu,1995,0.014098,33466.77,81.661
deu,2000,0.0115949,33466.77,82.188
deu,2005,0.0087424,33466.77,82.465
deu,2008,0.00827,33466.77,82.12
dnk,1995,0.0541014,45562.63,5.216
dnk,2000,0.0619258,45562.63,5.33
dnk,2005,0.0788821,45562.63,5.411
dnk,2008,0.0545634,45562.63,5.476
esp,1995,0.0517981,24536.75,39.388
esp,2000,0.0412324,24536.75,40.264
esp,2005,0.0355774,24536.75,43.398
esp,2008,0.0361686,24536.75,45.593
est,1995,0.0541617,8869.517,1.448
est,2000,0.0564703,8869.517,1.372
est,2005,0.0393093,8869.517,1.348
est,2008,0.0577855,8869.517,1.341
fin,1995,0.0095503,34959.43,5.117
fin,2000,0.0065689,34959.43,5.181
