ctry,isic,year,nat_res_exp_sha_t_3,trca,avg_gdppc,pop
row,c85,2011,.4380341,.0357284,,
row,c50t52,2000,.4028615,1.123977,,
row,c55,2008,.4561482,.5608581,,
row,c34,2005,.4080124,.1554368,,
row,c27,2005,.4080124,1.487845,,
row,c20,1995,.3129759,.8781842,,
row,c01t05,1995,.3129759,3.532969,,
row,c65t67,2008,.4561482,.1284705,,
row,c73t74,2005,.4080124,.3607655,,
row,c01t05,2005,.4080124,2.037243,,
row,c17t19,1995,.3129759,1.404104,,
row,c303233,2008,.4561482,.1075602,,
row,c40t41,2011,.4380341,.5449713,,
row,c80,1995,.3129759,.0521303,,
row,c34,1995,.3129759,.1721126,,
row,c36t37,1995,.3129759,.3844639,,
row,c71,1995,.3129759,.8993983,,
row,c28,2000,.4028615,.3802635,,
row,c27,2008,.4561482,1.176786,,
row,c24,2005,.4080124,.4946038,,
row,c36t37,2011,.4380341,.29782,,
row,c21t22,2005,.4080124,.2465469,,
row,c29,2005,.4080124,.2438105,,
row,c75,2005,.4080124,0,,
row,c17t19,2008,.4561482,1.25686,,
row,c01t05,2011,.4380341,1.907923,,
row,c26,2008,.4561482,.7388289,,
row,c50t52,2008,.4561482,1.085189,,
row,c73t74,2011,.4380341,.4277219,,
row,c95,2008,.4561482,,,
row,c75,2011,.4380341,0,,
row,c17t19,2011,.4380341,1.304887,,
row,c50t52,2011,.4380341,1.06898,,
row,c72,2011,.4380341,.2785597,,
row,c80,2011,.4380341,.0751763,,
row,c28,2011,.4380341,.3387329,,
row,c95,2011,.4380341,,,
row,c55,2011,.4380341,.6969637,,
row,c34,2011,.4380341,.1003451,,
row,c29,2011,.4380341,.238374,,
row,c45,2005,.4080124,2.885092,,
row,c65t67,2005,.4080124,.1667934,,
row,c36t37,2008,.4561482,.4633639,,
row,c31,2008,.4561482,.3366237,,
row,c24,2000,.4028615,.51976,,
row,c01t05,2008,.4561482,1.508554,,
row,c10t14,1995,.3129759,5.374723,,
row,c25,1995,.3129759,.2294836,,
row,c31,2005,.4080124,.2811947,,
row,c71,2005,.4080124,.4704247,,
row,c25,2005,.4080124,.3677174,,
row,c15t16,2000,.4028615,1.190006,,
row,c28,2008,.4561482,.2692031,,
row,c21t22,2011,.4380341,.308795,,
row,c95,2005,.4080124,,,
row,c73t74,2008,.4561482,.3437005,,
row,c60t63,2008,.4561482,.6466449,,
row,c80,2008,.4561482,.0617987,,
row,c55,2005,.4080124,.6092308,,
row,c80,2000,.4028615,.0514385,,
row,c75,1995,.3129759,.0002063,,
row,c45,2008,.4561482,1.28637,,
row,c71,2008,.4561482,.5046835,,
row,c73t74,2000,.4028615,.4481042,,
row,c71,2000,.4028615,.6288273,,
row,c65t67,1995,.3129759,.1297726,,
row,c64,2000,.4028615,1.261159,,
row,c20,2000,.4028615,.6328453,,
row,c15t16,1995,.3129759,1.382137,,
row,c10t14,2011,.4380341,4.122323,,
row,c10t14,2005,.4080124,4.768081,,
row,c29,2008,.4561482,.2239575,,
row,c72,2005,.4080124,.1306523,,
row,c10t14,2008,.4561482,4.428421,,
row,c55,2000,.4028615,.4727735,,
row,c95,2000,.4028615,,,
row,c303233,1995,.3129759,.0406336,,
row,c27,1995,.3129759,1.540053,,
row,c10t14,2000,.4028615,5.31244,,
row,c35,2011,.4380341,.5978457,,
row,c40t41,2008,.4561482,.2108621,,
row,c303233,2005,.4080124,.1493208,,
row,c17t19,2000,.4028615,1.28789,,
row,c90t93,2005,.4080124,.3215917,,
row,c95,1995,.3129759,,,
row,c303233,2000,.4028615,.0816909,,
row,c85,1995,.3129759,.0204102,,
row,c90t93,2000,.4028615,.2768655,,
row,c40t41,1995,.3129759,.1935441,,
row,c23,1995,.3129759,4.469633,,
row,c21t22,2000,.4028615,.2345044,,
row,c27,2011,.4380341,1.330444,,
row,c26,2011,.4380341,.6180526,,
row,c28,2005,.4080124,.2601962,,
row,c21t22,1995,.3129759,.1963149,,
row,c24,2008,.4561482,.5325076,,
row,c17t19,2005,.4080124,1.593504,,
row,c50t52,1995,.3129759,1.050049,,
row,c90t93,1995,.3129759,.4261324,,
row,c64,2005,.4080124,1.14141,,
row,c29,2000,.4028615,.2384934,,
row,c45,1995,.3129759,5.710188,,
row,c64,1995,.3129759,1.351664,,
row,c71,2011,.4380341,.6256897,,
row,c20,2011,.4380341,.6011053,,
row,c27,2000,.4028615,1.647768,,
row,c23,2011,.4380341,1.392167,,
row,c34,2000,.4028615,.1168964,,
row,c60t63,2000,.4028615,.8017089,,
row,c31,2000,.4028615,.1950172,,
row,c65t67,2011,.4380341,.1729244,,
row,c35,2000,.4028615,.2151747,,
row,c60t63,1995,.3129759,.9384204,,
row,c23,2008,.4561482,1.621776,,
row,c25,2008,.4561482,.3837508,,
row,c24,2011,.4380341,.4861772,,
row,c40t41,2005,.4080124,.1568546,,
row,c75,2008,.4561482,0,,
row,c70,2000,.4028615,.388794,,
row,c15t16,2008,.4561482,.9172777,,
row,c36t37,2005,.4080124,.5770149,,
