iso3,gdppc,class,region
"ABW",22319.246,"H","Latin America & Caribbean"
"ADO",27825.962,"H","Europe & Central Asia"
"AFG",,"L","South Asia"
"AGO",970.20224,"L","Sub-Saharan Africa"
"ALB",1549.3452,"L","Europe & Central Asia"
"ARE",45203.912,"H","Middle East & North Africa"
"ARG",5081.8927,"UM","Latin America & Caribbean"
"ARM",665.72282,"L","Europe & Central Asia"
"ASM",,"UM","East Asia & Pacific"
"ATG",9684.0827,"UM","Latin America & Caribbean"
"AUS",26572.343,"H","East Asia & Pacific"
"AUT",31323.285,"H","Europe & Central Asia"
"AZE",650.77297,"L","Europe & Central Asia"
"BDI",172.7527,"L","Sub-Saharan Africa"
"BEL",30346.633,"H","Europe & Central Asia"
"BEN",470.13582,"L","Sub-Saharan Africa"
"BFA",287.08071,"L","Sub-Saharan Africa"
"BGD",361.50444,"L","South Asia"
"BGR",2597.3017,"LM","Europe & Central Asia"
"BHR",17831.37,"UM","Middle East & North Africa"
"BHS",20386.496,"H","Latin America & Caribbean"
"BIH",650.13307,"L","Europe & Central Asia"
"BLR",1519.8826,"LM","Europe & Central Asia"
"BLZ",3101.6956,"LM","Latin America & Caribbean"
"BMU",56893.056,"H","North America"
"BOL",915.2083,"LM","Latin America & Caribbean"
"BRA",4279.4938,"UM","Latin America & Caribbean"
"BRB",11755.691,"UM","Latin America & Caribbean"
"BRN",27293.234,"H","East Asia & Pacific"
"BTN",808.30169,"L","South Asia"
"BWA",4094.6376,"LM","Sub-Saharan Africa"
"CAF",345.66458,"L","Sub-Saharan Africa"
"CAN",28709.691,"H","North America"
"CHE",48004.363,"H","Europe & Central Asia"
"CHI",,"H","Europe & Central Asia"
"CHL",5819.199,"UM","Latin America & Caribbean"
"CHN",782.0921,"L","East Asia & Pacific"
"CIV",1016.3046,"L","Sub-Saharan Africa"
"CMR",790.08771,"L","Sub-Saharan Africa"
"COD",287.30096,"L","Sub-Saharan Africa"
"COG",1626.872,"L","Sub-Saharan Africa"
"COL",3085.9823,"LM","Latin America & Caribbean"
"COM",602.35366,"L","Sub-Saharan Africa"
"CPV",1068.7841,"LM","Sub-Saharan Africa"
"CRI",3658.9822,"LM","Latin America & Caribbean"
"CUB",2451.0859,"LM","Latin America & Caribbean"
"CUW",,"","Latin America & Caribbean"
"CYM",,"H","Latin America & Caribbean"
"CYP",19474.588,"H","Europe & Central Asia"
"CZE",9943.9757,"UM","Europe & Central Asia"
"DEU",30940.018,"H","Europe & Central Asia"
"DJI",947.34332,"LM","Middle East & North Africa"
"DMA",4282.1815,"LM","Latin America & Caribbean"
"DNK",40759.432,"H","Europe & Central Asia"
"DOM",2551.3855,"LM","Latin America & Caribbean"
"DZA",2339.6553,"LM","Middle East & North Africa"
"ECU",2712.4488,"LM","Latin America & Caribbean"
"EGY",937.51155,"LM","Middle East & North Africa"
"ERI",263.1854,"L","Sub-Saharan Africa"
"ESP",20357.714,"H","Europe & Central Asia"
"EST",4995.4233,"LM","Europe & Central Asia"
"ETH",127.01992,"L","Sub-Saharan Africa"
"FIN",27492.992,"H","Europe & Central Asia"
"FJI",3097.2089,"LM","East Asia & Pacific"
"FRA",29540.851,"H","Europe & Central Asia"
"FRO",,"H","Europe & Central Asia"
"FSM",2269.5873,"LM","East Asia & Pacific"
"GAB",7885.8084,"UM","Sub-Saharan Africa"
"GBR",30842.194,"H","Europe & Central Asia"
"GEO",716.25298,"L","Europe & Central Asia"
"GHA",405.3489,"L","Sub-Saharan Africa"
"GIN",264.95033,"L","Sub-Saharan Africa"
"GMB",405.24812,"L","Sub-Saharan Africa"
"GNB",500.74578,"L","Sub-Saharan Africa"
"GNQ",668.05793,"L","Sub-Saharan Africa"
"GRC",16070.337,"UM","Europe & Central Asia"
"GRD",4272.136,"LM","Latin America & Caribbean"
"GRL",24200.078,"H","Europe & Central Asia"
"GTM",1864.5776,"LM","Latin America & Caribbean"
"GUM",,"H","East Asia & Pacific"
"GUY",957.93528,"L","Latin America & Caribbean"
"HKG",21072.128,"H","East Asia & Pacific"
"HND",1186.7129,"L","Latin America & Caribbean"
"HRV",6603.9656,"UM","Europe & Central Asia"
"HTI",,"L","Latin America & Caribbean"
"HUN",7600.781,"UM","Europe & Central Asia"
"IDN",1112.7501,"LM","East Asia & Pacific"
"IMY",19590.526,"UM","Europe & Central Asia"
"IND",466.99262,"L","South Asia"
"IRL",29043.419,"H","Europe & Central Asia"
"IRN",1989.0932,"LM","Middle East & North Africa"
"IRQ",1113.2293,"LM","Middle East & North Africa"
"ISL",40055.684,"H","Europe & Central Asia"
"ISR",17748.222,"H","Middle East & North Africa"
"ITA",28185.779,"H","Europe & Central Asia"
"JAM",,"LM","Latin America & Caribbean"
"JOR",1881.8109,"LM","Middle East & North Africa"
"JPN",32941.762,"H","East Asia & Pacific"
"KAZ",1950.5872,"LM","Europe & Central Asia"
"KEN",514.70909,"L","Sub-Saharan Africa"
"KGZ",341.07536,"L","Europe & Central Asia"
"KHM",264.57775,"L","East Asia & Pacific"
"KIR",922.93107,"LM","East Asia & Pacific"
"KNA",8586.5249,"UM","Latin America & Caribbean"
"KOR",12270.886,"H","East Asia & Pacific"
"KSV",,"","Europe & Central Asia"
"KWT",30266.377,"H","Middle East & North Africa"
"LAO",308.47434,"L","East Asia & Pacific"
"LBN",5337.5665,"LM","Middle East & North Africa"
"LBR",68.567165,"L","Sub-Saharan Africa"
"LBY",,"UM","Middle East & North Africa"
"LCA",4929.0553,"UM","Latin America & Caribbean"
"LIE",80984.218,"H","Europe & Central Asia"
"LKA",866.48639,"L","South Asia"
"LSO",575.56118,"LM","Sub-Saharan Africa"
"LTU",3955.8702,"LM","Europe & Central Asia"
"LUX",57781.265,"H","Europe & Central Asia"
"LVA",3601.1443,"LM","Europe & Central Asia"
"MAC",17425.784,"H","East Asia & Pacific"
"MAF",,"","Latin America & Caribbean"
"MAR",1388.9376,"LM","Middle East & North Africa"
"MCO",111405.42,"H","Europe & Central Asia"
"MDA",650.35492,"LM","Europe & Central Asia"
"MDG",277.32957,"L","Sub-Saharan Africa"
"MDV",,"LM","South Asia"
"MEX",6598.725,"UM","Latin America & Caribbean"
"MHL",2880.8348,"LM","East Asia & Pacific"
"MKD",2510.6687,"LM","Europe & Central Asia"
"MLI",314.43836,"L","Sub-Saharan Africa"
"MLT",12048.901,"UM","Middle East & North Africa"
"MMR",,"L","East Asia & Pacific"
"MNE",,"","Europe & Central Asia"
"MNG",700.96697,"L","East Asia & Pacific"
"MNP",,"H","East Asia & Pacific"
"MOZ",188.97321,"L","Sub-Saharan Africa"
"MRT",666.82796,"L","Sub-Saharan Africa"
"MUS",3637.1173,"UM","Sub-Saharan Africa"
"MWI",210.62109,"L","Sub-Saharan Africa"
"MYS",4347.8544,"UM","East Asia & Pacific"
"NAM",2903.4918,"LM","Sub-Saharan Africa"
"NCL",,"H","East Asia & Pacific"
"NER",260.21752,"L","Sub-Saharan Africa"
"NGA",533.41694,"L","Sub-Saharan Africa"
"NIC",918.41483,"L","Latin America & Caribbean"
"NLD",33578.286,"H","Europe & Central Asia"
"NOR",53165.422,"H","Europe & Central Asia"
"NPL",254.53218,"L","South Asia"
"NZL",22299.394,"H","East Asia & Pacific"
"OMN",11503.825,"UM","Middle East & North Africa"
"PAK",596.3573,"L","South Asia"
"PAN",3647.203,"LM","Latin America & Caribbean"
"PER",2225.2091,"LM","Latin America & Caribbean"
"PHL",989.87902,"LM","East Asia & Pacific"
"PLW",9236.3315,"","East Asia & Pacific"
"PNG",937.05177,"LM","East Asia & Pacific"
"POL",5235.3756,"LM","Europe & Central Asia"
"PRI",16763.537,"UM","Latin America & Caribbean"
"PRK",,"LM","East Asia & Pacific"
"PRT",15434.912,"H","Europe & Central Asia"
"PRY",1634.9314,"LM","Latin America & Caribbean"
"PYF",,"H","East Asia & Pacific"
"QAT",,"H","Middle East & North Africa"
"ROU",3508.8633,"LM","Europe & Central Asia"
"RUS",3529.541,"LM","Europe & Central Asia"
"RWA",187.39153,"L","Sub-Saharan Africa"
"SAU",12083.06,"UM","Middle East & North Africa"
"SDN",481.78872,"L","Sub-Saharan Africa"
"SEN",651.0203,"L","Sub-Saharan Africa"
"SGP",21651.094,"H","East Asia & Pacific"
"SLB",1257.7214,"LM","East Asia & Pacific"
"SLE",292.28738,"L","Sub-Saharan Africa"
"SLV",2342.6571,"LM","Latin America & Caribbean"
"SMR",35078.686,"","Europe & Central Asia"
"SOM",,"L","Sub-Saharan Africa"
"SRB",2392.8094,"","Europe & Central Asia"
"SSD",,"","Sub-Saharan Africa"
"STP",,"L","Sub-Saharan Africa"
"SUR",2827.5352,"LM","Latin America & Caribbean"
"SVK",7685.5292,"LM","Europe & Central Asia"
"SVN",12423.315,"UM","Europe & Central Asia"
"SWE",32477.487,"H","Europe & Central Asia"
"SWZ",2099.8426,"LM","Sub-Saharan Africa"
"SXM",,"","Latin America & Caribbean"
"SYC",9401.7042,"UM","Sub-Saharan Africa"
"SYR",1413.1496,"LM","Middle East & North Africa"
"TCA",,"","Latin America & Caribbean"
"TCD",383.16297,"L","Sub-Saharan Africa"
"TGO",377.71752,"L","Sub-Saharan Africa"
"THA",2268.8877,"LM","East Asia & Pacific"
"TJK",250.15757,"L","Europe & Central Asia"
"TKM",1213.0986,"LM","Europe & Central Asia"
"TMP",,"","East Asia & Pacific"
"TON",2186.2842,"LM","East Asia & Pacific"
"TTO",6804.1169,"UM","Latin America & Caribbean"
