ctry,isic,year,rca
sau,c71,2008,0
bel,c31,2008,0
tur,c71,2005,0
chn,c85,1995,0
idn,c45,2005,0
mys,c71,1995,0
kor,c75,2000,0
hun,c72,2000,0
rou,c70,2000,0
fra,c55,1995,0
sau,c80,2008,0
isl,c23,1995,0
jpn,c40t41,2000,0
fra,c71,1995,0
ind,c71,1995,0
rou,c35,1995,0
chl,c71,2005,0
rou,c70,1995,0
can,c28,1995,0
sau,c80,1995,0
swe,c55,2008,0
jpn,c72,2008,0
rou,c85,2008,0
khm,c75,2005,0
mlt,c71,1995,0
row,c40t41,1995,0
ind,c71,2008,0
pol,c72,2008,0
chl,c35,2000,0
arg,c85,1995,0
brn,c71,1995,0
nld,c85,1995,0
est,c28,2008,0
tur,c71,2008,0
irl,c85,2000,0
kor,c31,1995,0
jpn,c45,2005,0
tur,c28,2008,0
khm,c40t41,2000,0
jpn,c40t41,2005,0
zaf,c75,2000,0
svk,c31,2008,0
isl,c75,2008,0
rou,c85,2000,0
lva,c23,1995,0
sau,c72,2000,0
dnk,c72,2000,0
rus,c31,1995,0
chn,c90t93,2000,0
jpn,c75,2000,0
sau,c72,2005,0
rus,c71,2008,0
tur,c71,1995,0
mlt,c72,1995,0
phl,c72,2008,0
zaf,c29,2005,0
brn,c26,1995,0
zaf,c26,2005,0
jpn,c75,2008,0
svn,c70,1995,0
vnm,c40t41,2005,0
mlt,c35,2008,0
ltu,c10t14,2008,0
ltu,c10t14,1995,0
hun,c31,2000,0
fra,c75,2008,0
mex,c45,2005,0
mex,c71,2000,0
hun,c35,1995,0
ltu,c71,1995,0
brn,c26,2005,0
phl,c90t93,1995,0
irl,c28,1995,0
tha,c71,2005,0
tha,c72,2005,0
khm,c75,2000,0
ind,c85,2000,0
phl,c85,2000,0
mex,c75,2000,0
cze,c71,2008,0
bel,c72,2008,0
nor,c80,2000,0
arg,c80,2005,0
brn,c31,2005,0
sgp,c71,2008,0
ind,c35,2005,0
rou,c35,2008,0
tur,c35,2000,0
sau,c71,1995,0
vnm,c40t41,1995,0
bgr,c71,1995,0
dnk,c35,2008,0
sau,c71,2000,0
irl,c75,2000,0
can,c35,1995,0
brn,c71,2005,0
sau,c73t74,2000,0
cze,c31,2008,0
brn,c29,2008,0
arg,c72,1995,0
hun,c28,2000,0
ltu,c72,1995,0
bgr,c31,1995,0
zaf,c72,2008,0
phl,c72,1995,0
fra,c70,1995,0
dnk,c85,1995,0
chn,c80,1995,0
zaf,c75,2005,0
ind,c28,2000,0
grc,c72,2005,0
chn,c72,2000,0
phl,c71,1995,0
mex,c71,1995,0
phl,c40t41,2005,0
khm,c40t41,1995,0
kor,c71,1995,0
rou,c71,2008,0
brn,c40t41,2008,0
phl,c40t41,2000,0
arg,c72,2008,0
brn,c71,2008,0
khm,c71,1995,0
hun,c35,2008,0
